Date,Sales,Forecast,Absolute_Error
2023-03-01,41875082.29,44081165.74,2206083.450000003
2023-04-01,42400498.84,40412336.68,1988162.1600000039
2023-05-01,44882357.95,43873430.73,1008927.2200000063
2023-06-01,41187338.18,41039709.21,147628.9699999988
2023-07-01,42721138.18,42668071.62,53066.560000002384
2023-08-01,42538982.8,42374034.11,164948.68999999762
2023-09-01,40642795.64,40070326.06,572469.5799999982
2023-10-01,42337414.55,41943375.86,394038.6899999976
2023-11-01,42360455.29,42350052.73,10402.560000002384
2023-12-01,42286588.13,41950693.55,335894.58000000566
